#
# Word ending to "F"
#  -ed
#  -s
#  -ing
#

seeking 3 10 seek

shrink 1 1 shrinks shrank shrunk shrunken shrinking
shrinks 1 9 shrink
shrank 1 2 shrink
shrunk 1 6 shrink
shrunken 1 4 shrink
shrinking 3 10 shrink

sink 1 1 sinks sank sunk sinking
sinks 1 9 sink
sank 1 2 sink
sunk 1 4 sink
sinking 3 10 sink

sneak 1 1 sneaks sneaked snuck sneaking
sneaks 1 9 sneak
sneaked 1 6 sneak
snuck 1 6 sneak
sneaking 3 10 sneak

speak 1 1 speaks spoke spoken spake speaking
speaks 1 9 speak
spoke 1 2 speak
spoken 1 4 speak
spake 1 4 speak
speaking 3 10 speak

squeak 1 1 squeaks squeaked squoke squeaking
squeaks 1 9 squeak
squeaked 1 6 squeak
squoke 1 6 squeak
squeaking 3 10 squeak

stick 1 1 sticks stuck sticking
sticks 1 9 stick
stuck 1 6 stick
sticking 3 10 stick

stink 1 1 stinks stank stunk stinking
stinks 1 9 stink
stank 1 2 stink
stunk 1 6 stink
stinking 3 10 stink

think 1 1 thinks thought thinking
thinks 1 9 think
thought 1 6 think
thinking 3 10 think

trek 1 1 treks trekked trekking
treks 1 9 trek
trekked 1 6 trek
trekking 3 10 trek


